tautomer,conformer_id,method,solvent_model,energy_hartree,rel_energy_kcalmol,boltzmann_weight_298K,selected_for_dft
diketo,diketo_c000,GFN2-xTB,ethanol,-66.255567192982,0.0,0.10979246587867544,True
diketo,diketo_c001,GFN2-xTB,ethanol,-66.255562721129,0.0028061301262833718,0.10927369573369122,False
diketo,diketo_c002,GFN2-xTB,ethanol,-66.255524163045,0.02700169313821038,0.10490112863106252,False
diketo,diketo_c003,GFN2-xTB,ethanol,-66.255496932431,0.0440891614044955,0.10191895442526493,False
diketo,diketo_c004,GFN2-xTB,ethanol,-66.255477983366,0.05597987921314693,0.09989390783586552,False
diketo,diketo_c005,GFN2-xTB,ethanol,-66.255470124637,0.06091130611864195,0.09906591199844744,False
diketo,diketo_c006,GFN2-xTB,ethanol,-66.255449179319,0.07405469160035505,0.09689248035750529,False
diketo,diketo_c007,GFN2-xTB,ethanol,-66.253941314975,1.0202538530662455,0.019621006216490985,False
diketo,diketo_c008,GFN2-xTB,ethanol,-66.253925910217,1.029920484649575,0.019303478901336952,False
diketo,diketo_c009,GFN2-xTB,ethanol,-66.253894244491,1.0497910277257405,0.018666821565135133,False
diketo,diketo_c010,GFN2-xTB,ethanol,-66.253889515354,1.0527586059908365,0.018573558848087666,False
diketo,diketo_c011,GFN2-xTB,ethanol,-66.253775211957,1.1244850705247642,0.01645580994244599,False
diketo,diketo_c012,GFN2-xTB,ethanol,-66.253775047692,1.1245881483706406,0.016452947284248627,True
diketo,diketo_c013,GFN2-xTB,ethanol,-66.253717471199,1.1607179432153556,0.015479623121582855,False
diketo,diketo_c014,GFN2-xTB,ethanol,-66.25370274662,1.1699577560414545,0.015240090747168417,False
diketo,diketo_c015,GFN2-xTB,ethanol,-66.253669808863,1.1906265106122809,0.014717608656531524,False
diketo,diketo_c016,GFN2-xTB,ethanol,-66.253659762668,1.1969305931538339,0.014561842392021063,False
diketo,diketo_c017,GFN2-xTB,ethanol,-66.253650133758,1.2029728253992782,0.014414093645190829,False
diketo,diketo_c018,GFN2-xTB,ethanol,-66.253627908293,1.2169195152538892,0.014078758024094267,False
diketo,diketo_c019,GFN2-xTB,ethanol,-66.253614974663,1.225035490615069,0.0138872192905884,False
diketo,diketo_c020,GFN2-xTB,ethanol,-66.253611885659,1.2269738698883494,0.013841859974213881,False
diketo,diketo_c021,GFN2-xTB,ethanol,-66.253402607997,1.3582975854997572,0.011090049893830525,False
diketo,diketo_c022,GFN2-xTB,ethanol,-66.253391147893,1.3654889093368459,0.01095625730703566,False
diketo,diketo_c023,GFN2-xTB,ethanol,-66.25338933996,1.3666234044248917,0.010935298247514014,False
diketo,diketo_c024,GFN2-xTB,ethanol,-66.253378677915,1.3733139386751385,0.010812507874858646,False
diketo,diketo_c025,GFN2-xTB,ethanol,-66.253223378113,1.4707660357433077,0.009172623207112408,False
enolA,enolA_c000,GFN2-xTB,ethanol,-66.261707971534,0.0,0.1305598820551651,True
enolA,enolA_c001,GFN2-xTB,ethanol,-66.261673708475,0.021500394128288625,0.1259069926792128,False
enolA,enolA_c002,GFN2-xTB,ethanol,-66.261670952337,0.02322989683653772,0.12553999775194447,False
enolA,enolA_c003,GFN2-xTB,ethanol,-66.261665142842,0.026875409984489847,0.12476993155886401,False
enolA,enolA_c004,GFN2-xTB,ethanol,-66.261519651257,0.11817275796962504,0.10695190300031618,True
enolA,enolA_c005,GFN2-xTB,ethanol,-66.261437901709,0.16947137384132396,0.09808133535469823,False
enolA,enolA_c006,GFN2-xTB,ethanol,-66.261437760409,0.1695600409340014,0.09806665829639967,False
enolA,enolA_c007,GFN2-xTB,ethanol,-66.261409248792,0.18745135071554223,0.09514959751019286,False
enolA,enolA_c008,GFN2-xTB,ethanol,-66.261407501735,0.18854764554282474,0.09497370179320672,False
enolB,enolB_c000,GFN2-xTB,ethanol,-66.261634122804,0.0,0.10582457835671362,True
enolB,enolB_c001,GFN2-xTB,ethanol,-66.261574043342,0.03770043160331112,0.09930061509334735,False
enolB,enolB_c002,GFN2-xTB,ethanol,-66.261542892178,0.057248082138261484,0.09607787994648295,False
enolB,enolB_c003,GFN2-xTB,ethanol,-66.261540863786,0.05852091733769364,0.09587169742260614,False
enolB,enolB_c004,GFN2-xTB,ethanol,-66.261517829272,0.072975293103821,0.09356109279404112,False
enolB,enolB_c005,GFN2-xTB,ethanol,-66.261459009053,0.10988553779024436,0.08791032560863649,False
enolB,enolB_c006,GFN2-xTB,ethanol,-66.261439635891,0.12204238049056407,0.08612492586729494,False
enolB,enolB_c007,GFN2-xTB,ethanol,-66.261426733491,0.13013875872088726,0.08495602316547544,False
enolB,enolB_c008,GFN2-xTB,ethanol,-66.261414309678,0.13793481908497823,0.08384547371394382,False
enolB,enolB_c009,GFN2-xTB,ethanol,-66.261414144061,0.13803874531882904,0.0838307678887101,False
enolB,enolB_c010,GFN2-xTB,ethanol,-66.261401282973,0.1461091998916662,0.08269662014274808,True
